Qty,Value,Part Num,Package,Parts,
3,,SMT MICRO USB CONNECTOR,USB-AB-MICRO-SMD_V03_SMT,"USB1, USB2, USB3",
1,0.1uF,0U1 0603,CAPC1608X92N,C1,
2,1uF,1UF 0603,CAPC1608X92N,"C2, C3",
3,MBRS140,MBRS140,DIOM5436X265N,"D1, D2, D3",
1,NCN9252,NCN9252,UQN12,U1,
1,XC6206P332MR,XC6206P332MR,SOT95P280X135-3N,U2,Alternative: MCP1700T-3302E/TT
1,PCB,,,,https://oshpark.com/shared_projects/noy8f3xy
